gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSG00000002933.7	ENST00000004103.7,ENST00000461345.5,ENST00000462826.1,ENST00000468689.1,ENST00000474166.1,ENST00000475007.5,ENST00000475536.5,ENST00000475710.1,ENST00000481305.1,ENST00000484928.5,ENST00000494349.5	1024.00	764.56	0.00	0.00	0.00
ENSG00000003056.7	ENST00000000412.7,ENST00000536844.5,ENST00000537621.1,ENST00000539143.5,ENST00000540837.1,ENST00000541507.5,ENST00000543159.1,ENST00000543258.1,ENST00000543704.5,ENST00000543834.1,ENST00000543845.1,ENST00000544193.1,ENST00000544245.1	1480.08	1220.66	8648.00	5.02	52.69
ENSG00000003096.13	ENST00000262820.7,ENST00000371876.5,ENST00000371878.5,ENST00000371882.5,ENST00000447671.6,ENST00000453826.1,ENST00000469946.5,ENST00000539496.5,ENST00000540167.5,ENST00000541812.5,ENST00000545703.5	2608.88	2349.43	120.44	0.04	0.38
ENSG00000003137.8	ENST00000001146.6,ENST00000412253.1,ENST00000461519.1,ENST00000474509.1,ENST00000546307.5	4316.80	4057.35	47.00	0.01	0.09
ENSG00000003147.17	ENST00000265577.11,ENST00000317367.9,ENST00000339809.10,ENST00000396675.7,ENST00000401396.5,ENST00000402384.7,ENST00000406470.6,ENST00000407906.5,ENST00000422063.6,ENST00000430867.5,ENST00000446305.1,ENST00000447326.5,ENST00000455539.5,ENST00000457755.5,ENST00000470696.1,ENST00000476942.1,ENST00000486677.1,ENST00000490041.1	1601.45	1342.01	177.00	0.09	0.98
ENSG00000003249.13	ENST00000002501.10,ENST00000304733.7,ENST00000392973.7,ENST00000568330.2,ENST00000568662.1,ENST00000568838.1,ENST00000623401.1	1755.27	1495.82	37.00	0.02	0.18
ENSG00000003393.14	ENST00000264276.10,ENST00000409632.6,ENST00000410052.1,ENST00000439495.5,ENST00000462747.1,ENST00000467448.5,ENST00000482789.5,ENST00000482891.5,ENST00000483703.1,ENST00000489440.5,ENST00000494017.5,ENST00000496244.5	4256.46	3997.01	5783.00	1.02	10.76
ENSG00000003400.14	ENST00000272879.9,ENST00000286186.10,ENST00000313728.11,ENST00000346817.9,ENST00000360132.7,ENST00000374650.7,ENST00000438843.5,ENST00000448480.1,ENST00000460140.5,ENST00000471191.1,ENST00000484926.1,ENST00000485408.1,ENST00000492363.5	4120.00	3860.54	684.00	0.13	1.32
ENSG00000003402.19	ENST00000309955.7,ENST00000340870.6,ENST00000341222.10,ENST00000341582.10,ENST00000342795.9,ENST00000395148.6,ENST00000417748.1,ENST00000423241.6,ENST00000425030.1,ENST00000433445.1,ENST00000439154.6,ENST00000440180.5,ENST00000441224.5,ENST00000443227.5,ENST00000457277.5,ENST00000460961.1,ENST00000461422.1,ENST00000461820.5,ENST00000462763.5,ENST00000470178.6,ENST00000470664.1,ENST00000474842.1,ENST00000479953.6,ENST00000490965.1,ENST00000494258.5	2725.96	2466.50	11580.73	3.33	34.92
ENSG00000003436.14	ENST00000233156.7,ENST00000339091.8,ENST00000392365.5,ENST00000409676.5,ENST00000417013.5,ENST00000420747.1,ENST00000421427.5,ENST00000426055.5,ENST00000435414.5,ENST00000437725.5,ENST00000453013.5,ENST00000481132.5,ENST00000481389.1	3164.53	2905.08	11892.00	2.90	30.45
ENSG00000003509.15	ENST00000002125.8,ENST00000336237.10,ENST00000416653.5,ENST00000419278.2,ENST00000431821.5,ENST00000432075.1,ENST00000439218.5,ENST00000441905.1,ENST00000455230.5,ENST00000469831.1,ENST00000474154.5,ENST00000474257.5,ENST00000483999.5	1999.27	1739.82	731.00	0.30	3.12
ENSG00000003756.16	ENST00000347869.7,ENST00000395174.6,ENST00000404526.6,ENST00000417905.1,ENST00000433556.6,ENST00000437500.5,ENST00000438369.5,ENST00000441305.5,ENST00000441812.6,ENST00000461242.1,ENST00000462025.1,ENST00000464087.6,ENST00000464988.1,ENST00000469838.5,ENST00000471995.5,ENST00000474470.1,ENST00000474818.5,ENST00000475128.5,ENST00000475590.5,ENST00000479275.1,ENST00000489437.1,ENST00000492430.1,ENST00000492472.1,ENST00000493993.1,ENST00000494360.5,ENST00000496179.5	2068.13	1808.69	11373.00	4.45	46.77
ENSG00000003987.13	ENST00000180173.9,ENST00000517317.5,ENST00000518272.5,ENST00000519122.5,ENST00000519590.5,ENST00000519763.1,ENST00000521177.1,ENST00000521857.5,ENST00000523571.1	1139.67	880.24	0.00	0.00	0.00
ENSG00000003989.16	ENST00000004531.14,ENST00000398090.3,ENST00000470360.5,ENST00000494857.5,ENST00000522656.5	6848.63	6589.18	2894.00	0.31	3.27
ENSG00000004059.10	ENST00000000233.9,ENST00000415666.1,ENST00000459680.1,ENST00000463733.5,ENST00000467281.5,ENST00000489673.1	1003.66	744.22	1836.41	1.75	18.35
ENSG00000004139.13	ENST00000379061.8,ENST00000577870.2,ENST00000578128.5,ENST00000579593.1,ENST00000580711.1,ENST00000582323.1,ENST00000585453.5,ENST00000585482.5	5727.74	5468.28	2918.77	0.38	3.97
ENSG00000004142.11	ENST00000540200.5,ENST00000618887.2	2119.86	1860.40	5215.00	1.99	20.85
ENSG00000004399.12	ENST00000324093.8,ENST00000501038.6,ENST00000503166.1,ENST00000504524.5,ENST00000504689.1,ENST00000504767.5,ENST00000504979.1,ENST00000505237.2,ENST00000505505.1,ENST00000505665.5,ENST00000506979.1,ENST00000508630.1,ENST00000511018.1,ENST00000512744.5,ENST00000512807.1,ENST00000514990.1,ENST00000515191.1	2594.61	2335.17	7460.00	2.26	23.76
ENSG00000004455.16	ENST00000354858.10,ENST00000373449.6,ENST00000466029.1,ENST00000467905.5,ENST00000469238.1,ENST00000480134.5,ENST00000482191.1,ENST00000487289.1,ENST00000491241.1,ENST00000548033.5,ENST00000548559.1,ENST00000550338.5,ENST00000551979.1,ENST00000626911.1,ENST00000629371.2	1601.82	1342.37	4380.63	2.31	24.27
